user_input,variables
"I want mid-century modern on a $1500 budget","{}"
"Small living room refresh, Scandinavian feel, $800 max","{}"
"Furnishing a studio apartment for under $2000, modern style","{}"
"Bedroom makeover on $600, grad student budget","{}"
"Splurge encouraged, quality over price","{}"
"Designing a primary bedroom, no budget cap, want investment pieces","{}"
"Want a statement lounge chair, cost no object","{}"
"Dining room for entertaining, willing to invest in a great table","{}"
"Help me pick a color palette for a north-facing living room","{}"
"What style would work for a 1920s craftsman bungalow?","{}"
"I like warm minimalism but my partner likes maximalism. How do we compromise?","{}"
"What's the difference between Japandi and Scandinavian style?","{}"
